Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Shane McClanahan,TBR,22.1,97,11.68656717,2.01492537,5.8,0.80597015,0.29896907,0.05154639,0.24742268,0.29347826,1.43283582,0.40983607,0.82191781,2.408840092,2.429680327,21483
Daniel Lynch,KCR,9.2,36,5.58620689,1.86206896,3,0,0.16666667,0.05555556,0.11111111,0.16129032,0.72413793,0.18518519,0.375,2.859689292,3.772290395,21537
Reiss Knehr,SDP,13,52,4.15384615,4.15384615,1,0.69230769,0.11538462,0.11538462,0,0.18181818,1.07692308,0.18421053,0.80882353,4.862341812,6.033864432,21541
Jackson Kowar,KCR,13.2,68,6.58536585,7.24390244,0.90909091,2.63414634,0.14705882,0.16176471,-0.01470589,0.33333333,2.12195122,0.3255814,0.42735043,7.926131682,7.219645661,21549
Jake Cousins,MIL,12.2,57,13.5,9.2368421,1.46153846,0,0.33333333,0.22807018,0.10526315,0.14634146,1.5,0.27272727,0.86363636,3.959507802,4.934550034,21620
Elvis Peguero,LAA,1.1,7,0,6.75000002,0,0,0,0.14285714,-0.14285714,0.4,2.25000001,0.4,0.75,7.670034132,8.993305732,21652
Kervin Castro,SFG,6,26,10.5,1.5,7,0,0.26923077,0.03846154,0.23076923,0.29166667,1.33333333,0.38888889,0.875,1.336700792,3.689183625,21656
Edward Cabrera,MIA,15.1,68,8.21739131,7.04347826,1.16666667,2.34782609,0.20588235,0.17647059,0.02941176,0.25925926,1.69565217,0.27777778,0.75892857,7.474381952,5.578949839,21690
Luis Oviedo,PIT,13,69,9.69230769,9.69230769,1,2.07692308,0.20289855,0.20289855,0,0.30188679,2.30769231,0.35135135,0.52238806,7.477726432,5.97064823,21728
Jose Marte,LAA,1.1,7,13.50000003,0,2,6.75000002,0.28571429,0,0.28571429,0.42857143,2.25000001,0.5,-0.625,9.920034142,4.13984891,21761
Braxton Garrett,MIA,8,41,7.875,4.5,1.75,0,0.17073171,0.09756098,0.07317073,0.39393939,2.125,0.46428571,0.73684211,3.670034122,4.33166992,21844
Mason Thompson,2 Tms,10,48,6.3,9.9,0.63636364,1.8,0.14583333,0.22916667,-0.08333334,0.22222222,1.9,0.21428571,0.80246914,7.670034122,7.187268674,21850
Gregory Santos,SFG,0.2,5,26.99999987,26.99999987,1,13.49999993,0.4,0.4,0,0.33333333,4.49999998,0,0,25.67003401,8.816577284,21894
Camilo Doval,SFG,10.1,45,13.06451613,2.61290323,5,2.61290323,0.33333333,0.06666667,0.26666666,0.2195122,1.16129032,0.26086957,0.68181818,5.202292192,2.964801136,21992
Luis Frias,ARI,1,5,18,9,2,0,0.4,0.2,0.2,0.25,2,0.5,1,2.170034122,3.934396249,21997
Angel Rondon,STL,1.2,6,0,5.39999999,0,0,0,0.16666667,-0.16666667,0.2,1.2,0.2,1,4.970034122,8.14588594,22036
John King,TEX,16.1,65,8.26530612,2.75510204,3,0,0.23076923,0.07692308,0.15384615,0.14035088,0.79591837,0.19047619,0.6875,2.802687182,3.774886723,22051
Aaron Fletcher,SEA,0.2,6,13.49999993,0,1,0,0.16666667,0,0.16666667,0.5,4.49999998,0.6,1,0.170034132,0.170034137,22052
Kyle Tyler,LAA,5,17,1.8,3.6,0.5,0,0.05882353,0.11764706,-0.05882353,0.06666667,0.6,0.07142857,0.66666667,3.970034122,6.087268674,22092
Max Kranick,PIT,18.1,94,8.34545455,6.38181818,1.30769231,0.49090909,0.18085106,0.13829787,0.04255319,0.33333333,2.12727273,0.40983607,0.70707071,4.479125032,6.272220412,22175
Hans Crouse,PHI,4,21,2.25,13.5,0.16666667,4.5,0.04761905,0.28571429,-0.23809524,0.2,2.25,0.08333333,0.80645161,13.67003412,10.69875838,22192
Mac Sceroler,BAL,3.2,21,9.81818181,2.45454545,4,7.36363636,0.19047619,0.04761905,0.14285714,0.4,2.45454545,0.38461538,0,12.44276138,5.174725453,22218
Jon Heasley,KCR,8.2,32,5.19230769,2.07692308,2.5,2.07692308,0.15625,0.0625,0.09375,0.2,0.92307692,0.17391304,0.76923077,5.708495662,4.947878359,22224
Paul Campbell,MIA,12,57,8.25,3.75,2.2,2.25,0.19298246,0.0877193,0.10526316,0.28571429,1.58333333,0.30555556,0.6547619,6.336700792,4.998093093,22248
Logan Gilbert,SEA,55.2,232,9.21556886,2.74850299,3.35294118,0.80838323,0.24568966,0.07327586,0.1724138,0.23943662,1.22155689,0.30065359,0.68852459,3.205962262,4.003395533,22250
Shane Baz,TBR,4,18,13.5,4.5,3,2.25,0.33333333,0.11111111,0.22222222,0.25,1.5,0.33333333,1,4.920034122,4.316577312,22264
Tarik Skubal,DET,28.1,120,8.89411765,2.22352941,4,0.31764706,0.23333333,0.05833333,0.175,0.26363636,1.27058824,0.3373494,0.75842697,2.499445882,3.286054447,22267
Dylan Coleman,KCR,1.2,8,5.39999999,0,1,0,0.125,0,0.125,0.375,1.8,0.42857143,1,1.970034122,5.145885946,22276
Trevor Rogers,MIA,29.1,133,11.96590909,5.21590909,2.29411765,0,0.29323308,0.12781955,0.16541353,0.25892857,1.56818182,0.38157895,0.82978723,2.351852302,3.494677773,22286
