Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Aaron Bummer,CHW,35.2,167,10.85046729,6.81308411,1.59259259,0.75700935,0.25748503,0.16167665,0.09580838,0.22962963,1.62616822,0.31111111,0.7266436,4.459753752,3.910444872,16258
Sam Howard,PIT,22.2,106,13.89705882,7.14705882,1.94444444,2.38235294,0.33018868,0.16981132,0.16037736,0.25882353,1.76470588,0.35555556,0.5952381,6.170034122,4.674845291,16265
John Means,BAL,114.2,465,8.31976744,1.49127907,5.57894737,2.11918605,0.22795699,0.04086022,0.18709677,0.22323462,1.02034884,0.22977346,0.80528846,4.983987612,4.384841741,16269
Alex Blandino,CIN,1.2,8,5.39999999,10.79999998,0.5,0,0.125,0.25,-0.125,0.16666667,1.8,0.2,0.66666667,5.570034122,7.687268665,16271
Sam Clay,WSN,23.2,120,4.94366197,5.32394366,0.92857143,0.76056338,0.10833333,0.11666667,-0.00833334,0.33333333,2.02816901,0.36363636,0.62240664,5.324963702,5.642831886,16279
Jesus Tinoco,COL,1,8,0,9,0,18,0,0.125,-0.125,0.66666667,5,0.5,0.9375,35.17003412,14.4631205,16300
Alex McRae,CHW,1,5,0,9,0,0,0,0.2,-0.2,0.25,2,0.25,1,6.170034122,9.698758376,16317
Ryan Borucki,TOR,12.1,56,8.02702703,5.83783784,1.375,2.91891892,0.19642857,0.14285714,0.05357143,0.2826087,1.7027027,0.27272727,0.64935065,7.548412502,5.048872949,16350
Tyler Mahle,CIN,87,387,9.82758621,3.10344828,3.16666667,1.86206897,0.24547804,0.07751938,0.16795866,0.26979472,1.40229885,0.31355932,0.78244275,4.986126072,4.141953128,16358
Ryan Castellani,COL,2.2,11,6.74999999,6.74999999,1,0,0.18181818,0.18181818,0,0.375,1.875,0.5,1,5.045034122,6.368305713,16377
Brad Wieck,CHC,10.2,44,10.125,4.21875,2.4,0,0.27272727,0.11363636,0.15909091,0.17948718,1.125,0.25925926,1,2.326284122,4.476600464,16390
Reynaldo Lopez,CHW,31.2,118,9.37894737,1.70526316,5.5,1.70526316,0.27966102,0.05084746,0.22881356,0.19266055,0.85263158,0.20547945,0.59139785,4.117402542,3.214312213,16400
