Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Wilson Ramos,NYM,141,524,14,52,73,1,8.40%,13.20%,0.129,0.31,0.288,0.351,0.416,0.327,0.314,106,-5.8,-1.4,-0.1,1.5,1433
Lorenzo Cain,MIL,148,623,11,75,48,18,8.00%,17.00%,0.112,0.301,0.26,0.325,0.372,0.302,0.328,83,0.4,-13.8,9,1.5,9077
Austin Nola,SEA,79,267,10,37,31,1,8.60%,23.60%,0.185,0.325,0.269,0.342,0.454,0.337,0.294,114,1.5,6.3,-0.1,1.5,15941
Andrew McCutchen,PHI,59,262,10,45,29,2,16.40%,21.00%,0.201,0.299,0.256,0.378,0.457,0.358,0.355,120,0.2,7,-0.2,1.5,9847
David Dahl,COL,100,413,15,67,61,4,6.80%,26.60%,0.222,0.386,0.302,0.353,0.524,0.364,0.337,111,0.6,6.8,-5.1,1.5,13744
Austin Hedges,SDP,102,347,11,28,36,1,7.80%,31.40%,0.135,0.228,0.176,0.252,0.311,0.242,0.264,49,0.1,-23.5,27.3,1.5,12976
Marwin Gonzalez,MIN,114,463,15,52,55,1,6.70%,21.20%,0.151,0.31,0.264,0.322,0.414,0.313,0.32,94,0.4,-3.4,2.2,1.5,5497
David Bote,CHC,127,356,11,47,41,5,12.40%,26.10%,0.165,0.333,0.257,0.362,0.422,0.336,0.315,105,2.4,4.6,-1.4,1.4,14593
Kevin Pillar,- - -,161,645,21,83,88,14,2.80%,13.80%,0.173,0.27,0.259,0.287,0.432,0.298,0.296,84,6,-7.4,1.2,1.4,12434
Dansby Swanson,ATL,127,545,17,77,65,10,9.40%,22.80%,0.172,0.3,0.251,0.325,0.422,0.317,0.35,91,3.9,-2.2,-0.8,1.4,18314
Elvis Andrus,TEX,147,648,12,81,72,31,5.20%,14.80%,0.118,0.305,0.275,0.313,0.393,0.3,0.303,76,3.5,-16.5,8.5,1.4,8709
Ian Happ,CHC,58,156,11,25,30,2,9.60%,25.00%,0.3,0.286,0.264,0.333,0.564,0.368,0.335,126,1.4,6.8,2.9,1.4,17919
Greg Garcia,SDP,134,372,4,52,31,0,14.20%,22.30%,0.106,0.323,0.248,0.364,0.354,0.319,0.291,98,0.2,-0.6,3.1,1.4,10951
Jose Iglesias,CIN,146,530,11,62,59,6,3.80%,13.20%,0.119,0.315,0.288,0.318,0.407,0.306,0.273,82,-1.9,-14.7,11.9,1.4,10231
David Freese,LAD,79,186,11,35,29,0,12.40%,23.70%,0.284,0.374,0.315,0.403,0.599,0.415,0.382,161,-2.1,12.8,-4.4,1.4,9549
Victor Caratini,CHC,95,279,11,31,34,1,10.40%,21.10%,0.18,0.305,0.266,0.348,0.447,0.338,0.336,106,-1.5,0.9,4.3,1.4,14968
Danny Jansen,TOR,107,384,13,41,43,0,8.10%,20.60%,0.153,0.23,0.207,0.279,0.36,0.275,0.311,68,-0.6,-16.3,17,1.4,16535
Jackie Bradley Jr.,BOS,147,567,21,69,62,8,9.90%,27.30%,0.196,0.281,0.225,0.317,0.421,0.314,0.312,89,0.5,-7.1,1.3,1.4,12984
Freddy Galvis,- - -,147,589,23,67,70,4,4.80%,24.60%,0.178,0.312,0.26,0.296,0.438,0.307,0.276,89,-0.8,-9.4,3.1,1.4,6609
Jurickson Profar,OAK,139,518,20,65,67,9,9.30%,14.50%,0.192,0.218,0.218,0.301,0.41,0.301,0.32,90,1.8,-5.1,0.7,1.3,10815
Brandon Nimmo,NYM,69,254,8,34,29,3,18.10%,28.00%,0.186,0.293,0.221,0.375,0.407,0.34,0.331,115,1.9,6.9,-1.5,1.3,12927
Jorge Alfaro,MIA,130,465,18,44,57,4,4.70%,33.10%,0.162,0.364,0.262,0.312,0.425,0.312,0.321,95,-5.7,-9,7.5,1.3,12180
Jacob Stallings,PIT,71,210,6,26,13,0,7.60%,19.00%,0.12,0.303,0.262,0.325,0.382,0.297,0.31,82,-0.1,-5.2,12,1.3,13723
Jonathan Schoop,MIN,121,464,23,61,59,1,4.30%,25.00%,0.217,0.298,0.256,0.304,0.473,0.324,0.31,101,-0.8,-0.2,-2.5,1.3,11265
Garrett Cooper,MIA,107,421,15,52,50,0,7.80%,26.10%,0.165,0.357,0.281,0.344,0.446,0.337,0.342,111,-2.8,3.1,-3.3,1.3,15279
Starlin Castro,MIA,162,676,22,68,86,2,4.10%,16.40%,0.165,0.293,0.27,0.3,0.436,0.307,0.312,91,-4.2,-12.2,3.6,1.3,4579
Brock Holt,BOS,87,295,3,38,31,1,9.50%,19.30%,0.104,0.365,0.297,0.369,0.402,0.333,0.301,103,-1.2,-0.2,3.4,1.3,9345
Donovan Solano,SFG,81,228,4,27,23,0,4.40%,21.50%,0.126,0.409,0.33,0.36,0.456,0.346,0.344,116,-0.9,3.8,2.1,1.3,8623
J.P. Crawford,SEA,93,396,7,43,46,5,10.90%,21.00%,0.145,0.275,0.226,0.313,0.371,0.296,0.291,87,0.7,-6,5.5,1.3,15491
Jason Kipnis,CLE,121,511,17,52,65,7,7.80%,17.20%,0.166,0.265,0.245,0.304,0.41,0.301,0.312,86,0,-9.5,4.8,1.3,9776
Matt Carpenter,STL,129,492,15,59,46,6,12.80%,26.20%,0.166,0.285,0.226,0.334,0.392,0.315,0.317,96,0.2,-2.2,-0.7,1.3,8090
Alex Avila,ARI,63,201,9,22,24,1,17.90%,33.80%,0.213,0.287,0.207,0.353,0.421,0.323,0.359,96,-3.1,-4.2,10.5,1.3,7476
Yadier Molina,STL,113,452,10,45,57,6,5.10%,12.80%,0.129,0.289,0.27,0.312,0.399,0.303,0.313,88,-3.8,-10.8,8.8,1.2,7007
Teoscar Hernandez,TOR,125,464,26,58,65,6,9.70%,33.00%,0.242,0.293,0.23,0.306,0.472,0.325,0.311,102,0.7,1.8,-5.4,1.2,13066
Alex Gordon,KCR,150,633,13,77,76,5,8.10%,15.80%,0.129,0.301,0.266,0.345,0.396,0.319,0.326,95,-2.4,-6.1,-3.5,1.2,5209
Yasiel Puig,- - -,149,611,24,76,84,19,7.20%,21.80%,0.191,0.308,0.267,0.327,0.458,0.33,0.317,100,-0.9,-0.8,-7.1,1.2,14225
Brad Miller,- - -,79,170,13,26,25,2,8.80%,26.50%,0.305,0.281,0.26,0.329,0.565,0.368,0.343,127,0.2,6.2,0.6,1.2,12775
Reese McGuire,TOR,30,105,5,14,11,0,6.70%,17.10%,0.227,0.324,0.299,0.346,0.526,0.364,0.287,128,-0.2,3.7,5.1,1.2,15674
Jarrod Dyson,ARI,130,452,7,65,27,30,10.40%,19.00%,0.09,0.275,0.23,0.313,0.32,0.281,0.271,68,8.9,-10.3,7.8,1.2,4866
Eddie Rosario,MIN,137,590,32,91,109,3,3.70%,14.60%,0.224,0.273,0.276,0.3,0.5,0.329,0.322,104,0.2,3.2,-11.7,1.2,12155
Matt Joyce,ATL,129,238,7,32,23,0,16.00%,18.90%,0.155,0.351,0.295,0.408,0.45,0.372,0.361,127,-0.1,8.5,-4.2,1.2,3353
Leury Garcia,CHW,140,618,8,93,40,15,3.40%,22.50%,0.099,0.353,0.279,0.31,0.378,0.294,0.267,82,5.6,-8.8,-0.9,1.2,5913
Russell Martin,LAD,83,249,6,29,20,1,12.00%,24.10%,0.11,0.276,0.22,0.337,0.33,0.295,0.297,82,0.2,-5.7,9.4,1.2,4616
Mitch Haniger,SEA,63,283,15,46,32,4,10.60%,28.60%,0.244,0.257,0.22,0.314,0.463,0.326,0.321,107,0.5,2.8,-1.2,1.1,14274
Franmil Reyes,- - -,150,548,37,69,81,0,8.60%,28.50%,0.263,0.279,0.249,0.31,0.512,0.338,0.36,111,-3.2,4.5,-11.5,1.1,14566
Mike Freeman,CLE,75,213,4,27,24,1,10.30%,28.60%,0.113,0.388,0.277,0.362,0.39,0.327,0.276,103,1.8,2.6,1.3,1.1,11241
Aledmys Diaz,HOU,69,247,9,36,40,2,10.50%,11.30%,0.195,0.268,0.271,0.356,0.467,0.345,0.34,118,-0.6,4.9,-2.3,1.1,15937
Manny Pina,MIL,76,179,7,10,25,0,8.90%,27.90%,0.184,0.284,0.228,0.313,0.411,0.308,0.302,87,0.3,-2.9,8.3,1.1,2829
Enrique Hernandez,LAD,130,460,17,57,64,4,7.80%,21.10%,0.174,0.266,0.237,0.304,0.411,0.301,0.302,86,1.5,-6.8,3.1,1.1,10472
Brian McCann,ATL,85,316,12,28,45,0,9.80%,16.80%,0.162,0.261,0.249,0.323,0.412,0.311,0.313,88,-2.5,-7.5,8.3,1.1,4810
Aaron Hicks,NYY,59,255,12,41,36,1,12.20%,28.20%,0.208,0.286,0.235,0.325,0.443,0.325,0.283,103,-0.1,0.7,1.3,1.1,5297
Jake Marisnick,HOU,120,318,10,46,34,10,5.30%,29.90%,0.178,0.31,0.233,0.289,0.411,0.297,0.255,85,2,-4.2,4,1.1,11339
Wilmer Flores,ARI,89,285,9,31,37,0,5.30%,10.90%,0.17,0.332,0.317,0.361,0.487,0.358,0.334,119,-1.9,5.3,-3.6,1.1,5827
Derek Dietrich,CIN,113,306,19,41,43,1,9.20%,24.20%,0.275,0.176,0.187,0.328,0.462,0.334,0.331,100,1.4,1.4,-0.9,1,10542
Corey Dickerson,- - -,78,279,12,33,59,1,5.70%,20.10%,0.262,0.344,0.304,0.341,0.565,0.367,0.322,126,-0.9,8.7,-7.4,1,10762
Luis Rengifo,LAA,108,406,7,44,33,2,9.90%,22.90%,0.126,0.3,0.238,0.321,0.364,0.298,0.301,83,0.5,-8.2,4.3,1,19858
Aristides Aquino,CIN,56,225,19,31,47,7,7.10%,26.70%,0.317,0.266,0.259,0.316,0.576,0.36,0.318,117,1.6,6.6,-4,1,15482
Curt Casali,CIN,84,236,8,24,32,0,10.60%,25.00%,0.159,0.308,0.251,0.331,0.411,0.316,0.301,88,1.5,-2.3,4.5,1,12510
Cesar Puello,- - -,44,147,4,14,18,0,6.80%,25.90%,0.136,0.325,0.248,0.356,0.384,0.325,0.313,103,0,0.3,4.5,1,7216
Didi Gregorius,NYY,82,344,16,47,61,2,4.90%,15.40%,0.204,0.237,0.238,0.276,0.441,0.297,0.279,84,1.1,-6,3.6,0.9,6012
Pablo Sandoval,SFG,108,296,14,42,41,1,6.10%,22.60%,0.239,0.304,0.268,0.313,0.507,0.336,0.331,110,-0.6,3.1,-3.1,0.9,5409
Jake Cave,MIN,72,228,8,28,25,0,9.20%,31.10%,0.197,0.358,0.258,0.351,0.455,0.343,0.355,114,0.7,4.8,-3.2,0.9,14477
Josh Reddick,HOU,141,550,14,57,56,5,6.50%,12.00%,0.134,0.288,0.275,0.319,0.409,0.308,0.307,92,0.4,-4.9,-4.9,0.9,3892
Myles Straw,HOU,56,128,0,27,7,8,14.80%,18.80%,0.074,0.345,0.269,0.378,0.343,0.323,0.314,103,2.8,3.2,1.7,0.9,17620
Adam Haseley,PHI,67,242,5,30,26,4,5.80%,24.80%,0.131,0.344,0.266,0.324,0.396,0.309,0.265,87,1.5,-2.7,4,0.9,19878
Yolmer Sanchez,CHW,149,555,2,59,43,5,7.90%,21.10%,0.069,0.324,0.252,0.318,0.321,0.281,0.269,73,2,-17.3,7,0.9,11602
Ender Inciarte,ATL,65,230,5,30,24,7,11.30%,17.80%,0.151,0.286,0.246,0.343,0.397,0.318,0.289,92,2.6,0.3,1.4,0.9,4922
Tim Locastro,ARI,91,250,1,38,17,17,5.60%,17.60%,0.09,0.31,0.25,0.357,0.34,0.314,0.288,90,5.2,1.8,-0.9,0.9,15124
Ben Gamel,MIL,134,356,7,47,33,2,11.20%,29.20%,0.125,0.347,0.248,0.337,0.373,0.308,0.293,87,2.5,-3.7,1,0.9,12160
A.J. Pollock,LAD,86,342,15,49,47,5,6.70%,21.60%,0.201,0.3,0.266,0.327,0.468,0.333,0.329,107,1.9,4.9,-7.2,0.9,9256
Stephen Vogt,SFG,99,280,10,30,40,3,7.10%,23.60%,0.227,0.311,0.263,0.314,0.49,0.331,0.328,106,0.3,2.6,-2.8,0.9,5000
Austin Romine,NYY,73,240,8,29,35,1,4.20%,20.80%,0.158,0.327,0.281,0.31,0.439,0.315,0.301,96,-2.2,-3.5,3.9,0.9,5491
Jesse Winker,CIN,113,384,16,51,38,0,9.90%,15.60%,0.204,0.286,0.269,0.357,0.473,0.351,0.336,111,-4.1,1.5,-5.2,0.9,13590
Dominic Smith,NYM,89,197,11,35,25,1,9.60%,22.30%,0.243,0.32,0.282,0.355,0.525,0.368,0.32,134,-1.6,7.1,-4.8,0.9,15653
Robinson Cano,NYM,107,423,13,46,39,0,5.90%,16.30%,0.172,0.28,0.256,0.307,0.428,0.308,0.328,94,-2.3,-5.6,0.3,0.8,3269
Chad Pinder,OAK,124,370,13,45,47,0,5.40%,23.80%,0.176,0.284,0.24,0.29,0.416,0.298,0.307,87,-1.5,-7.6,3.1,0.8,15191
Yan Gomes,WSN,97,358,12,36,43,2,10.60%,23.50%,0.166,0.265,0.223,0.316,0.389,0.298,0.299,80,-2.1,-11.6,8.4,0.8,9627
Mike Ford,NYY,50,163,12,30,25,0,10.40%,17.20%,0.301,0.243,0.259,0.35,0.559,0.372,0.357,134,0.3,7.5,-4.8,0.8,15585
Robbie Grossman,OAK,138,482,6,57,38,9,12.20%,17.80%,0.107,0.288,0.24,0.334,0.348,0.299,0.324,88,0,-7.4,-1.1,0.8,5254
Delino DeShields,TEX,118,408,4,42,32,24,9.30%,24.50%,0.098,0.333,0.249,0.325,0.347,0.295,0.266,72,4.8,-9.6,3.5,0.8,11379
Adam Engel,CHW,89,248,6,26,26,3,5.60%,31.50%,0.141,0.343,0.242,0.304,0.383,0.296,0.274,83,1.6,-4,3.4,0.8,15082
Adeiny Hechavarria,- - -,84,221,9,34,33,3,6.30%,21.70%,0.202,0.272,0.241,0.299,0.443,0.312,0.286,94,0.7,-1.1,1.6,0.8,10459
Martin Maldonado,- - -,105,374,12,46,27,0,8.60%,23.00%,0.165,0.25,0.213,0.293,0.378,0.288,0.293,76,-3.1,-14.8,9.3,0.7,6887
Adam Duvall,ATL,41,130,10,17,19,0,5.40%,30.00%,0.3,0.306,0.267,0.315,0.567,0.36,0.314,120,1.1,4.6,-1.4,0.7,10950
Shed Long Jr.,SEA,42,168,5,21,15,3,9.50%,23.80%,0.191,0.327,0.263,0.333,0.454,0.333,0.264,112,1.1,3.7,-2.3,0.7,16542
Ryan McMahon,COL,141,539,24,70,83,5,10.40%,29.70%,0.2,0.323,0.25,0.329,0.45,0.33,0.323,89,0.1,-7.8,-2.6,0.7,15112
Anthony Santander,BAL,93,405,20,46,59,1,4.70%,21.20%,0.216,0.285,0.261,0.297,0.476,0.321,0.315,97,-0.2,-1.7,-5.3,0.7,14551
Austin Slater,SFG,68,192,5,20,21,1,11.50%,30.70%,0.179,0.337,0.238,0.333,0.417,0.32,0.326,99,1.7,1.4,-0.6,0.7,16153
Austin Barnes,LAD,75,242,5,28,25,3,9.50%,23.10%,0.137,0.248,0.203,0.293,0.34,0.272,0.253,67,-0.9,-11.5,10.6,0.7,12158
Mitch Moreland,BOS,91,335,19,48,58,1,10.10%,22.10%,0.255,0.271,0.252,0.328,0.507,0.347,0.351,112,-2.1,3.2,-8,0.7,3086
Mike Brosseau,TBR,51,142,6,17,16,1,4.90%,27.50%,0.189,0.345,0.273,0.319,0.462,0.329,0.268,110,1.2,3,-1,0.7,19683
Kurt Suzuki,WSN,85,309,17,37,63,0,6.50%,11.70%,0.221,0.248,0.264,0.324,0.486,0.337,0.34,105,-0.5,1.6,-4.9,0.7,8259
Michael Chavis,BOS,95,382,18,46,58,2,8.10%,33.20%,0.19,0.347,0.254,0.322,0.444,0.323,0.285,96,-2.3,-4.3,-2.4,0.7,17321
Jordy Mercer,DET,74,271,9,24,22,0,4.80%,21.00%,0.168,0.316,0.27,0.31,0.438,0.314,0.313,94,0.3,-1.7,-1.2,0.6,6547
Dustin Garneau,- - -,35,101,3,14,14,0,9.90%,21.80%,0.163,0.295,0.244,0.35,0.407,0.33,0.29,105,-1.4,-0.7,3.7,0.6,9433
Tucker Barnhart,CIN,114,364,11,32,40,1,12.10%,22.80%,0.149,0.278,0.231,0.328,0.38,0.301,0.272,78,-3.5,-14,8.6,0.6,10200
Nick Senzel,CIN,104,414,12,55,42,14,7.20%,24.40%,0.171,0.319,0.256,0.315,0.427,0.315,0.294,87,-0.4,-7.3,0.2,0.6,19293
Ehire Adrianza,MIN,84,236,5,34,22,0,8.50%,16.90%,0.144,0.311,0.272,0.349,0.416,0.326,0.321,102,0,0.7,-2.7,0.6,8418
Wil Myers,SDP,155,490,18,58,53,16,10.40%,34.30%,0.179,0.344,0.239,0.321,0.418,0.316,0.314,97,-0.6,-2.6,-7.1,0.6,10047
Joey Wendle,TBR,75,263,3,32,19,8,5.30%,17.90%,0.109,0.272,0.231,0.293,0.34,0.275,0.292,73,1.6,-7.5,4.5,0.6,13853
Jay Bruce,- - -,98,333,26,43,59,1,5.70%,24.60%,0.306,0.2,0.216,0.261,0.523,0.318,0.334,98,-0.4,-1.5,-3.9,0.6,9892
Trent Grisham,MIL,51,183,6,24,24,1,10.90%,26.20%,0.179,0.286,0.231,0.328,0.41,0.316,0.303,92,0.7,-1.3,1.3,0.6,18564
Francisco Mejia,SDP,79,244,8,27,22,1,5.30%,23.00%,0.173,0.319,0.265,0.316,0.438,0.317,0.272,97,-1.2,-2,-0.1,0.6,16403
Stephen Piscotty,OAK,93,393,13,46,44,2,7.40%,21.40%,0.162,0.289,0.249,0.309,0.412,0.306,0.313,93,0.7,-2.9,-5.2,0.6,13367
Matt Beaty,LAD,99,268,9,36,46,5,6.30%,12.30%,0.193,0.275,0.265,0.317,0.458,0.324,0.315,101,0.1,0.4,-3.4,0.6,17710
Renato Nunez,BAL,151,599,31,72,90,1,7.30%,23.90%,0.216,0.272,0.244,0.311,0.46,0.323,0.332,99,0.3,-0.8,-14.7,0.5,14503
Randal Grichuk,TOR,151,628,31,75,80,2,5.60%,26.00%,0.225,0.266,0.232,0.28,0.457,0.307,0.299,90,-3.8,-12.1,-4.5,0.5,10243
Phillip Ervin,CIN,94,260,7,30,23,4,6.90%,24.20%,0.195,0.339,0.271,0.331,0.466,0.334,0.291,100,0.4,0.4,-3.4,0.5,14738
Joey Votto,CIN,142,608,15,79,47,5,12.50%,20.20%,0.15,0.313,0.261,0.357,0.411,0.332,0.341,98,-3.9,-5.3,-9.4,0.5,4314
Pedro Severino,BAL,96,341,13,37,44,3,8.50%,21.40%,0.17,0.285,0.249,0.321,0.42,0.316,0.335,94,-2.1,-4.8,-2,0.5,14523
Willie Calhoun,TEX,83,337,21,51,48,0,6.80%,15.70%,0.256,0.262,0.269,0.323,0.524,0.351,0.32,110,-2.2,2.3,-9,0.5,17838
Addison Russell,CHC,82,241,9,25,23,2,8.30%,24.10%,0.153,0.28,0.237,0.308,0.391,0.297,0.285,79,0.6,-6,3.3,0.5,14106
Nathaniel Lowe,TBR,50,169,7,24,19,0,7.70%,29.60%,0.191,0.34,0.263,0.325,0.454,0.328,0.329,109,1.3,3.3,-4.1,0.5,19566
Dee Gordon,SEA,117,421,3,36,34,22,4.30%,14.50%,0.084,0.313,0.275,0.304,0.359,0.282,0.25,77,2.9,-9.3,-0.5,0.5,8203
Nomar Mazara,TEX,116,469,19,69,66,4,6.00%,23.00%,0.2,0.312,0.268,0.318,0.469,0.327,0.332,94,-0.1,-3.6,-8.1,0.5,14553
Alex Dickerson,- - -,68,190,6,29,28,1,6.80%,22.10%,0.213,0.331,0.276,0.332,0.489,0.341,0.345,112,-0.7,2.4,-3.8,0.5,12649
Tim Lopes,SEA,41,128,1,11,12,6,11.70%,22.70%,0.09,0.354,0.27,0.359,0.36,0.318,0.279,101,0.7,0.9,-0.8,0.4,14137
Nick Solak,TEX,33,135,5,19,17,2,11.10%,21.50%,0.198,0.354,0.293,0.393,0.491,0.375,0.335,126,-0.2,4.4,-4.7,0.4,19294
Dylan Moore,SEA,113,282,9,31,28,11,8.90%,33.00%,0.182,0.29,0.206,0.302,0.389,0.299,0.275,88,-0.7,-5,-0.6,0.4,18042
Billy Hamilton,- - -,119,353,0,41,15,22,9.10%,24.60%,0.057,0.299,0.218,0.289,0.275,0.251,0.242,49,5.8,-17.1,9.2,0.4,10199
Brandon Belt,SFG,156,616,17,76,57,4,13.50%,20.60%,0.169,0.275,0.234,0.339,0.403,0.319,0.346,98,-1.6,-3.1,-12.9,0.4,10264
Vladimir Guerrero Jr.,TOR,123,514,15,52,69,0,8.90%,17.70%,0.162,0.308,0.272,0.339,0.433,0.329,0.326,105,-6.6,-3.4,-10.6,0.4,19611
Harold Ramirez,MIA,119,446,11,54,50,2,4.00%,20.40%,0.14,0.328,0.276,0.312,0.416,0.308,0.301,92,0.5,-4.1,-6.5,0.4,14387
Neil Walker,MIA,115,381,8,37,38,3,11.00%,20.20%,0.134,0.316,0.261,0.344,0.395,0.319,0.339,99,-1,-1.3,-7.1,0.4,7539
Jose Martinez,STL,128,373,10,45,42,3,9.40%,22.00%,0.141,0.328,0.269,0.34,0.41,0.323,0.346,102,-0.6,0.1,-8.4,0.4,7996
Tim Beckham,SEA,88,328,15,39,47,1,6.40%,31.10%,0.224,0.305,0.237,0.293,0.461,0.315,0.288,99,-2.4,-2.7,-4.9,0.4,7949
Sean Rodriguez,PHI,76,139,4,24,12,1,13.70%,29.50%,0.152,0.309,0.223,0.348,0.375,0.319,0.3,94,-0.2,-1.4,0.6,0.4,6589
Mike Zunino,TBR,90,289,9,30,32,0,6.90%,33.90%,0.147,0.22,0.165,0.232,0.312,0.235,0.273,46,0.6,-19.3,12.7,0.4,13265
Rio Ruiz,BAL,127,413,12,35,46,0,9.70%,21.30%,0.143,0.272,0.232,0.306,0.376,0.294,0.291,79,-3.2,-14.3,3.3,0.3,14103
Brandon Crawford,SFG,147,560,11,58,59,3,9.50%,20.90%,0.122,0.274,0.228,0.304,0.35,0.281,0.303,73,-0.9,-20.8,5.9,0.3,5343
Tyler Wade,NYY,43,108,2,16,11,7,10.20%,25.90%,0.117,0.328,0.245,0.33,0.362,0.303,0.258,88,2.5,0.8,-1.2,0.3,15730
Cam Gallagher,KCR,45,142,3,14,12,0,7.70%,19.70%,0.127,0.281,0.238,0.312,0.365,0.294,0.255,79,-3.1,-6.9,5.3,0.3,12981
Nick Markakis,ATL,116,469,9,61,62,2,10.00%,12.60%,0.135,0.31,0.285,0.356,0.42,0.332,0.349,101,-1.9,-1,-11,0.3,5930
C.J. Cron,MIN,125,499,25,51,78,0,5.80%,21.40%,0.216,0.277,0.253,0.311,0.469,0.325,0.362,101,-5.6,-4.7,-9.5,0.3,12546
Rougned Odor,TEX,145,581,30,77,93,11,9.00%,30.60%,0.234,0.244,0.205,0.283,0.439,0.302,0.315,77,2.2,-14.9,-2.3,0.3,12282
Guillermo Heredia,TBR,89,231,5,31,20,2,7.80%,26.00%,0.137,0.293,0.225,0.306,0.363,0.291,0.299,84,1,-3.8,-1.3,0.3,18721
Jeimer Candelario,DET,94,386,8,33,32,3,11.10%,25.60%,0.134,0.262,0.203,0.306,0.337,0.283,0.306,73,0.3,-13,2.5,0.3,13621
Tyler Austin,- - -,89,179,9,30,24,2,13.40%,37.40%,0.221,0.253,0.188,0.296,0.409,0.298,0.313,84,3.3,-0.4,-2.4,0.3,11850
Josh Phegley,OAK,106,342,12,44,62,0,4.40%,18.40%,0.172,0.258,0.239,0.282,0.411,0.291,0.283,83,-4,-11.6,2.5,0.3,9308
Kevin Plawecki,CLE,60,174,3,13,17,0,6.90%,17.80%,0.12,0.256,0.222,0.287,0.342,0.273,0.283,67,-1.3,-8.8,5.4,0.3,13807
Charlie Culberson,ATL,108,144,5,14,20,0,4.20%,30.60%,0.178,0.345,0.259,0.294,0.437,0.306,0.279,84,0,-3,1,0.3,3298
Tony Kemp,- - -,110,279,8,31,29,4,8.20%,16.80%,0.167,0.227,0.212,0.291,0.38,0.285,0.249,76,-1.3,-10.1,3,0.2,14894
Ben Zobrist,CHC,47,176,1,24,17,0,13.10%,13.60%,0.053,0.299,0.26,0.358,0.313,0.303,0.299,83,-1.9,-5.8,2.4,0.2,7435
Ronny Rodriguez,DET,84,294,14,29,43,3,4.40%,27.90%,0.217,0.254,0.221,0.252,0.438,0.283,0.279,73,1.6,-8.6,0.6,0.2,11875
Andrew Knapp,PHI,74,160,2,12,8,0,11.30%,31.90%,0.11,0.325,0.213,0.318,0.324,0.282,0.294,69,0.4,-6,3,0.2,14942
Mauricio Dubon,- - -,30,111,4,12,9,3,4.50%,18.00%,0.16,0.305,0.274,0.306,0.434,0.312,0.273,94,0.3,-0.6,-0.9,0.2,16530
Austin Riley,ATL,80,297,18,41,49,0,5.40%,36.40%,0.245,0.293,0.226,0.279,0.471,0.307,0.306,85,-1.1,-7,-0.6,0.2,18360
Logan Forsythe,TEX,101,367,7,38,39,2,12.00%,27.20%,0.126,0.307,0.227,0.325,0.353,0.298,0.316,75,0.1,-11.7,0.7,0.2,7185
Justin Smoak,TOR,121,500,22,54,61,0,15.80%,21.20%,0.198,0.223,0.208,0.342,0.406,0.323,0.366,101,-4.5,-3.9,-11.8,0.2,9054
Joe Panik,- - -,142,491,5,50,39,4,8.80%,9.60%,0.091,0.262,0.244,0.315,0.336,0.284,0.302,76,-2.3,-18.1,3.8,0.2,11936
Greg Allen,CLE,89,256,4,30,27,8,4.30%,20.70%,0.117,0.28,0.229,0.29,0.346,0.274,0.269,67,0.6,-10.1,3,0.2,16623
Ryan Goins,CHW,52,163,2,13,10,0,10.40%,27.00%,0.097,0.347,0.25,0.333,0.347,0.298,0.256,84,-1.4,-4.7,0.8,0.2,9807
Luis Urias,SDP,71,249,4,27,24,0,10.00%,22.50%,0.102,0.284,0.223,0.329,0.326,0.294,0.303,82,-2,-7.8,1.3,0.2,16622
Josh VanMeter,CIN,95,260,8,33,23,9,11.20%,21.50%,0.171,0.279,0.237,0.327,0.408,0.316,0.319,88,-0.9,-5,-2,0.1,15170
Roman Quinn,PHI,44,122,4,18,11,8,9.80%,27.90%,0.157,0.271,0.213,0.298,0.37,0.289,0.257,74,2.2,-1.9,-0.8,0.1,13546
Ryan Zimmerman,WSN,52,190,6,20,27,0,8.90%,20.50%,0.158,0.297,0.257,0.321,0.415,0.313,0.325,90,0.7,-1.9,-3.1,0.1,4220
Clint Frazier,NYY,69,246,12,31,38,1,6.50%,28.50%,0.222,0.329,0.267,0.317,0.489,0.333,0.319,108,-1.2,1.3,-8.8,0.1,15983
Rowdy Tellez,TOR,111,409,21,49,54,1,7.10%,28.40%,0.222,0.267,0.227,0.293,0.449,0.308,0.328,91,-1.6,-6.5,-6.8,0.1,15679
Francisco Cervelli,- - -,48,160,3,15,12,1,8.10%,25.60%,0.135,0.278,0.213,0.302,0.348,0.285,0.282,73,-1.9,-7.6,3.5,0.1,5275
Colin Moran,PIT,149,503,13,46,80,0,6.00%,23.30%,0.152,0.341,0.277,0.322,0.429,0.315,0.31,93,-3.4,-7.8,-7.8,0.1,16909
Cory Spangenberg,MIL,32,102,2,11,10,3,5.90%,35.30%,0.126,0.351,0.232,0.277,0.358,0.267,0.221,60,0.6,-4.8,2.4,0.1,12294
Mallex Smith,SEA,134,566,6,70,37,46,7.40%,24.90%,0.108,0.302,0.227,0.3,0.335,0.278,0.25,74,8.5,-10.1,-9.3,0.1,13608
Domingo Santana,SEA,121,507,21,63,69,8,9.90%,32.30%,0.188,0.347,0.253,0.329,0.441,0.326,0.334,107,0.5,5.1,-22.4,0.1,10348
Tyler O'Neill,STL,60,151,5,18,16,1,6.60%,35.10%,0.149,0.386,0.262,0.311,0.411,0.308,0.273,92,0.1,-1.5,-2.9,0.1,15711
